CódigoTransação,DataVenda,Mes,Produto,Status,FormaPagamento,Parcelas,ValorParcela,ValorVenda,ValorComissão,ValorTotalVenda,TipoCheckout,Vendedor
PPCPMTB5DD0OI4,2024-02-01 01:42:46,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DD0P7H,2024-02-01 01:57:29,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DD0P7J,2024-02-01 01:57:30,2024-02,Order bump 2,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DD1164,2024-02-01 02:50:44,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DD136I,2024-02-01 04:09:31,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DD138I,2024-02-01 04:14:17,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DD145K,2024-02-01 04:58:57,2024-02,Produto principal,Aprovado,Cartão de Crédito,5,21.17,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DD145L,2024-02-01 04:59:07,2024-02,Order bump 1,Aprovado,Cartão de Crédito,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DD150B,2024-02-01 05:27:51,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DD16C0,2024-02-01 06:01:13,2024-02,Produto principal,Rejeitado,Cartão de Crédito,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DD171O,2024-02-01 06:14:08,2024-02,Produto principal,Cancelado,Cartão de Crédito,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DD17LJ,2024-02-01 06:28:05,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DD192F,2024-02-01 06:43:52,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DD192H,2024-02-01 06:43:52,2024-02,Order bump 1,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DD192I,2024-02-01 06:43:53,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DD1A7L,2024-02-01 06:58:47,2024-02,Order bump 1,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DD1A7I,2024-02-01 06:58:47,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DD1A7M,2024-02-01 06:58:48,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
